PermitNum,AppliedDate,PermitType,PermitTypeMapped,PermitClass,PermitClassGroup,PermitClassMapped,WorkClass,Description
BP2015-00082,2015/01/07,Commercial / Multi Family Project,Building,2399 - Indust/Utility Misc.,Industrial,Non-Residential,New,South Calgary Gate Meter Station
BP2015-00165,2015/01/09,Commercial / Multi Family Project,Building,2399 - Indust/Utility Misc.,Industrial,Non-Residential,New,Installation of an Electrical/communications equipement shed
BP2015-00300,2015/01/13,Commercial / Multi Family Project,Building,3303 - Gas Bar,Commercial,Non-Residential,New,Temporary Kiosk  Petro Canada Station
BP2015-00390,2015/01/15,Commercial / Multi Family Project,Building,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Ranchman's Event Tent and Bull Riding Bleachers
BP2015-00581,2015/01/20,Commercial / Multi Family Project,Building,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,"Kurios with Cirque du Soleil  - temporary theatrical circus, performance artists"
BP2015-00613,2015/01/20,Commercial / Multi Family Project,Building,3303 - Gas Bar,Commercial,Non-Residential,New,Convenience Store and Self-Service Canopy
BP2015-00758,2015/01/23,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,New,Giusti Corporate Building G
BP2015-00775,2015/01/23,Commercial / Multi Family Project,Building,5401 - Church,Institutional,Non-Residential,New,New Southview Alliance Church Campus
BP2015-00808,2015/01/26,Commercial / Multi Family Project,Building,3102 - Grocery Store,Commercial,Non-Residential,New,New Building - Retail
BP2015-00967,2015/01/29,Commercial / Multi Family Project,Building,5499 - Religious Misc.,Institutional,Non-Residential,New,Grounds Maintenance Building
BP2015-00986,2015/01/29,Commercial / Multi Family Project,Building,5105 - Day-Care,Institutional,Non-Residential,New,New commercial building for Daycare use.
BP2015-01074,2015/02/02,Commercial / Multi Family Project,Building,5301 - Child Care Facility,Institutional,Non-Residential,New,Creekside Daycare
BP2015-01145,2015/02/03,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,New,Cedarglen Noland Hill - Temporary Sales Centre
BP2015-01170,2015/02/04,Commercial / Multi Family Project,Building,3513 - Theatre,Commercial,Non-Residential,New,Royal Canadian Circus 2015
BP2015-01268,2015/02/06,Commercial / Multi Family Project,Building,3507 - Community Centre,Commercial,Non-Residential,New,2 gazebos at Foxdale Lake Beach House
BP2015-01387,2015/02/10,Commercial / Multi Family Project,Building,3613 - Restaurant - Licensed,Commercial,Non-Residential,New,New 2 storey building
BP2015-01536,2015/02/12,Commercial / Multi Family Project,Building,3106 - Retail Shop,Commercial,Non-Residential,New,Two new one storey buildings
BP2015-01524,2015/02/12,Commercial / Multi Family Project,Building,3510 - Recreation Facility,Commercial,Non-Residential,New,Shouldice Athletic Park Phase 2 Upgrades- Washrooms & Locker Rooms
BP2015-01537,2015/02/12,Commercial / Multi Family Project,Building,3106 - Retail Shop,Commercial,Non-Residential,New,Two new buildings
BP2015-01613,2015/02/13,Commercial / Multi Family Project,Building,3107 - Shopping Centre,Commercial,Non-Residential,New,"Sunridge Commercial Plaza - Phase 1, Building A"
BP2015-01686,2015/02/17,Commercial / Multi Family Project,Building,3299 - Storage/Warehouse Misc.,Commercial,Non-Residential,New,New 1 storey building
BP2015-01684,2015/02/17,Commercial / Multi Family Project,Building,3107 - Shopping Centre,Commercial,Non-Residential,New,New Assembly/Retail Building
BP2015-01682,2015/02/17,Commercial / Multi Family Project,Building,3107 - Shopping Centre,Commercial,Non-Residential,New,New Assembly/Retail Building
BP2015-01871,2015/02/20,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,New,New 2 storey office/warehouse building
BP2015-01846,2015/02/20,Commercial / Multi Family Project,Building,3111 - Warehouse Stores,Commercial,Non-Residential,New,New 2 storey building
BP2015-01819,2015/02/20,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,New,"Warehouse Shell, Building D, Great Pl."
BP2015-01863,2015/02/20,Commercial / Multi Family Project,Building,7104 - Special Function - Class 2,Special Function Ten,Non-Residential,New,Temporary Tent Structures - Osteria De Medici Restaurant - Stampede 2015
BP2015-01938,2015/02/23,Commercial / Multi Family Project,Building,3106 - Retail Shop,Commercial,Non-Residential,New,Temporary Garden Centre - Real Canadian Superstore 20 Heritage Meadows Way SE
BP2015-01942,2015/02/23,Commercial / Multi Family Project,Building,3106 - Retail Shop,Commercial,Non-Residential,New,Temporary Garden Centre - Real Canadian Superstore 3633 Westwinds Drive NE
BP2015-01946,2015/02/23,Commercial / Multi Family Project,Building,3106 - Retail Shop,Commercial,Non-Residential,New,Temporary Garden Centre - Real Canadian Superstore 4700 130 Ave SE
BP2015-01944,2015/02/23,Commercial / Multi Family Project,Building,3106 - Retail Shop,Commercial,Non-Residential,New,Temporary Garden Centre - Real Canadian Superstore 100 Country Village NE
BP2015-01933,2015/02/23,Commercial / Multi Family Project,Building,3106 - Retail Shop,Commercial,Non-Residential,New,Temporary Garden Centre - Real Canadian Superstore 100 15915 MacLeod Trail SE
BP2015-01929,2015/02/23,Commercial / Multi Family Project,Building,3106 - Retail Shop,Commercial,Non-Residential,New,Temporary Garden Centre - Real Canadian Superstore 3575 20th Ave NE
BP2015-01934,2015/02/23,Commercial / Multi Family Project,Building,3106 - Retail Shop,Commercial,Non-Residential,New,Temporary Garden Centre - Real Canadian Superstore 5858 Signal Hill CE SW
BP2015-01932,2015/02/23,Commercial / Multi Family Project,Building,3106 - Retail Shop,Commercial,Non-Residential,New,Temporary Garden Centre - Real Canadian Superstore 10505 Southport Road SW
BP2015-01937,2015/02/23,Commercial / Multi Family Project,Building,3106 - Retail Shop,Commercial,Non-Residential,New,Temporary Garden Centre - Real Canadian Superstore 5251 Country Hills Bv NW
BP2015-01935,2015/02/23,Commercial / Multi Family Project,Building,3106 - Retail Shop,Commercial,Non-Residential,New,Temporary Garden Centre - Real Canadian Superstore 7020 4 St NW
BP2015-02109,2015/02/27,Commercial / Multi Family Project,Building,3106 - Retail Shop,Commercial,Non-Residential,New,New 1 storey commercial building
BP2015-02270,2015/03/04,Commercial / Multi Family Project,Building,3607 - Hotel/Motel,Commercial,Non-Residential,New,Calgary Candlewood Suites Hotel
BP2015-02277,2015/03/04,Commercial / Multi Family Project,Building,"5109 - School, Public",Institutional,Non-Residential,New,Christine Meikle School
BP2015-02304,2015/03/05,Commercial / Multi Family Project,Building,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Special Event Tent
BP2015-02378,2015/03/06,Commercial / Multi Family Project,Building,3499 - Office/Bank/Professional Misc.,Commercial,Non-Residential,New,Scotiabank Douglas Square office building
BP2015-02411,2015/03/09,Commercial / Multi Family Project,Building,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Special Event
BP2015-02483,2015/03/10,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,New,"Temporary Sales Trailer - Apartment building ""Duke"""
BP2015-02480,2015/03/10,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,New,great plains building b
BP2015-02567,2015/03/11,Commercial / Multi Family Project,Building,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,HIS HIGHNESS PRINCE AGA KHAN SHIA IMAMI ISMAILI - Navroz
BP2015-02569,2015/03/11,Commercial / Multi Family Project,Building,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,HIS HIGHNESS PRINCE AGA KHAN SHIA IMAMI ISMAILI - Navroz
BP2015-02697,2015/03/16,Commercial / Multi Family Project,Building,5302 - Senior Citizen Homes,Institutional,Non-Residential,New,New 4 storey building
BP2015-02714,2015/03/16,Commercial / Multi Family Project,Building,7002 - Private Retaining Wall,Retaining Wall,Non-Residential,New,
BP2015-02723,2015/03/16,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,New,FAIRMORE BUSINESS PARK BUILDING 4
BP2015-02759,2015/03/17,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,New,New Hestia Corporate Office building
