PermitNum,AppliedDate,PermitType,PermitTypeMapped,PermitClass,PermitClassGroup,PermitClassMapped,WorkClass,Description
BP2000-07221,2000/07/04,Commercial / Multi Family Project,Building,3111 - Warehouse Stores,Commercial,Non-Residential,New,Warehouse Store with offices
BP2000-07287,2000/07/05,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,New,Warehouse/Office
BP2000-07273,2000/07/05,Commercial / Multi Family Project,Building,"5111 - School, Separate",Institutional,Non-Residential,New,Three portable  classrooms and a link
BP2000-07354,2000/07/06,Commercial / Multi Family Project,Building,3602 - Cabaret,Commercial,Non-Residential,New,two special events tents
BP2000-07400,2000/07/07,Commercial / Multi Family Project,Building,2399 - Indust/Utility Misc.,Industrial,Non-Residential,New,new building
BP2000-07484,2000/07/10,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,New,New office trailer
BP2000-07505,2000/07/11,Commercial / Multi Family Project,Building,3302 - Dealership,Commercial,Non-Residential,New,temporary sales trailer
BP2000-07597,2000/07/12,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,New,New Building
BP2000-07667,2000/07/13,Commercial / Multi Family Project,Building,6306 - Parks,Government,Non-Residential,New,54 TENTS UP FOR 4 DAYS
BP2000-07833,2000/07/18,Commercial / Multi Family Project,Building,3303 - Gas Bar,Commercial,Non-Residential,New,New Gas Bar
BP2000-07919,2000/07/19,Commercial / Multi Family Project,Building,2103 - Auto Prod,Industrial,Non-Residential,New,new automotive specialties
BP2000-08007,2000/07/21,Commercial / Multi Family Project,Building,3304 - Repair Garage,Commercial,Non-Residential,New,Two new buildings
BP2000-08121,2000/07/25,Commercial / Multi Family Project,Building,"5111 - School, Separate",Institutional,Non-Residential,New,New portable classrooms
BP2000-08120,2000/07/25,Commercial / Multi Family Project,Building,"5111 - School, Separate",Institutional,Non-Residential,New,New portable classroom
BP2000-08152,2000/07/26,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,New,show suite - temporary structure
BP2000-08175,2000/07/26,Commercial / Multi Family Project,Building,2199 - Indust/Manufacture Misc.,Industrial,Non-Residential,New,
BP2000-08282,2000/07/28,Commercial / Multi Family Project,Building,6306 - Parks,Government,Non-Residential,New,
BP2000-08289,2000/07/28,Commercial / Multi Family Project,Building,6399 - Municipal/Commercial Misc.,Government,Non-Residential,New,Stephen Avenue Mall Streetscaping
BP2000-08399,2000/08/01,Commercial / Multi Family Project,Building,2122 - Soft Drink Plant,Industrial,Non-Residential,New,New Building
BP2000-08468,2000/08/02,Commercial / Multi Family Project,Building,3510 - Recreation Facility,Commercial,Non-Residential,New,new curling club facility
BP2000-08462,2000/08/02,Commercial / Multi Family Project,Building,3106 - Retail Shop,Commercial,Non-Residential,New,New Commercial Building
BP2000-08522,2000/08/03,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,New,New commercial building
BP2000-08513,2000/08/03,Commercial / Multi Family Project,Building,3401 - Bank,Commercial,Non-Residential,New,new financial institution
BP2000-08542,2000/08/04,Commercial / Multi Family Project,Building,3203 - Warehouse,Commercial,Non-Residential,New,x
BP2000-08563,2000/08/04,Commercial / Multi Family Project,Building,"5111 - School, Separate",Institutional,Non-Residential,New,Relocation of 4 portable classroom
BP2000-08561,2000/08/04,Commercial / Multi Family Project,Building,"5111 - School, Separate",Institutional,Non-Residential,New,Add 1 portable classroom & 1 portable washcar
BP2000-08590,2000/08/08,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,New,New Industrial Building
BP2000-08596,2000/08/08,Commercial / Multi Family Project,Building,3102 - Grocery Store,Commercial,Non-Residential,New,new commercial building
BP2000-08823,2000/08/15,Commercial / Multi Family Project,Building,2311 - Terminal-Truck,Industrial,Non-Residential,New,New Building
BP2000-08959,2000/08/17,Commercial / Multi Family Project,Building,3106 - Retail Shop,Commercial,Non-Residential,New,new commercial bldg
BP2000-08945,2000/08/17,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,New,New loading dock
BP2000-09011,2000/08/18,Commercial / Multi Family Project,Building,3299 - Storage/Warehouse Misc.,Commercial,Non-Residential,New,New Commercial Bldg
BP2000-09269,2000/08/24,Commercial / Multi Family Project,Building,3611 - Restaurant/Drinking Establishment,Commercial,Non-Residential,New,New Building
BP2000-09254,2000/08/24,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,New,New sales/amenity building
BP2000-09259,2000/08/24,Commercial / Multi Family Project,Building,3611 - Restaurant/Drinking Establishment,Commercial,Non-Residential,New,New event tent
BP2000-09276,2000/08/24,Commercial / Multi Family Project,Building,3510 - Recreation Facility,Commercial,Non-Residential,New,New Pro shop(replace existing pro shop)
BP2000-09275,2000/08/24,Commercial / Multi Family Project,Building,2203 - Tower,Industrial,Non-Residential,New,Installation of Antenna Tower
