PermitNum,AppliedDate,PermitType,PermitTypeMapped,PermitClass,PermitClassGroup,PermitClassMapped,WorkClass,Description
BP2005-00013,2005/01/03,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-00027,2005/01/04,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-00098,2005/01/06,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-00199,2005/01/10,Demolition,Demolition,3204 - Warehouse/Office,Commercial,Non-Residential,Demolition,
BP2005-00161,2005/01/10,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-00252,2005/01/11,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-00308,2005/01/12,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-00430,2005/01/14,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-00434,2005/01/14,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-00442,2005/01/17,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-00441,2005/01/17,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-00499,2005/01/18,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-00501,2005/01/18,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-00609,2005/01/20,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-00610,2005/01/20,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-00722,2005/01/24,Demolition,Demolition,3199 - Trade/Retail/Wholesale Misc.,Commercial,Non-Residential,Demolition,
BP2005-00753,2005/01/25,Demolition,Demolition,2199 - Indust/Manufacture Misc.,Industrial,Non-Residential,Demolition,
BP2005-00842,2005/01/26,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-00843,2005/01/26,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-00834,2005/01/26,Demolition,Demolition,3304 - Repair Garage,Commercial,Non-Residential,Demolition,
BP2005-00883,2005/01/27,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-00892,2005/01/27,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-00865,2005/01/27,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-00908,2005/01/27,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-00951,2005/01/28,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01084,2005/02/01,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01099,2005/02/01,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01080,2005/02/01,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01079,2005/02/01,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01142,2005/02/02,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01140,2005/02/02,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01219,2005/02/03,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01224,2005/02/03,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01225,2005/02/03,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01292,2005/02/04,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01288,2005/02/04,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01291,2005/02/04,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01263,2005/02/04,Demolition,Demolition,3402 - Office,Commercial,Non-Residential,Demolition,
BP2005-01276,2005/02/04,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01319,2005/02/07,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01334,2005/02/07,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01333,2005/02/07,Demolition,Demolition,1506 - Apartment,Apartment,Residential,Demolition,
BP2005-01341,2005/02/07,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01335,2005/02/07,Demolition,Demolition,1506 - Apartment,Apartment,Residential,Demolition,
BP2005-01349,2005/02/08,Demolition,Demolition,5105 - Day-Care,Institutional,Non-Residential,Demolition,
BP2005-01401,2005/02/08,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01396,2005/02/08,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01446,2005/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01456,2005/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01426,2005/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01464,2005/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01441,2005/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01437,2005/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01463,2005/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01420,2005/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01447,2005/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01479,2005/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01428,2005/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01418,2005/02/09,Demolition,Demolition,1408 - Semi-Detached (2-Unit),Two Family,Residential,Demolition,
BP2005-01451,2005/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01461,2005/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01509,2005/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01458,2005/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01459,2005/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01442,2005/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01455,2005/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01443,2005/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01435,2005/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01431,2005/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01452,2005/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01439,2005/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01449,2005/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01465,2005/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01448,2005/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01444,2005/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01425,2005/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01429,2005/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01417,2005/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01421,2005/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01454,2005/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01434,2005/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01423,2005/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01433,2005/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01462,2005/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01422,2005/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01457,2005/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01693,2005/02/14,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01750,2005/02/15,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2005-01759,2005/02/15,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
