PermitNum,AppliedDate,PermitType,PermitTypeMapped,PermitClass,PermitClassGroup,PermitClassMapped,WorkClass,Description
BP2006-19508,2006/11/21,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-03125,2007/03/15,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-06754,2007/05/14,Demolition,Demolition,3299 - Storage/Warehouse Misc.,Commercial,Non-Residential,Demolition,
BP2007-14419,2007/09/14,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-14037,2007/09/06,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-18931,2006/11/08,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-07817,2007/05/29,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-00419,2007/01/15,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-03963,2007/03/29,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-03298,2007/03/16,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-00462,2007/01/16,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
