PermitNum,AppliedDate,PermitType,PermitTypeMapped,PermitClass,PermitClassGroup,PermitClassMapped,WorkClass,Description
BP2000-00021,2000/01/04,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-00062,2000/01/05,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-00063,2000/01/05,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-00157,2000/01/07,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-00206,2000/01/11,Demolition,Demolition,3303 - Gas Bar,Commercial,Non-Residential,Demolition,
BP2000-00209,2000/01/11,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-00207,2000/01/11,Demolition,Demolition,3303 - Gas Bar,Commercial,Non-Residential,Demolition,
BP2000-00306,2000/01/14,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-00332,2000/01/17,Demolition,Demolition,3305 - Service Station,Commercial,Non-Residential,Demolition,
BP2000-00485,2000/01/21,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-00584,2000/01/25,Demolition,Demolition,1408 - Semi-Detached (2-Unit),Two Family,Residential,Demolition,
BP2000-00618,2000/01/25,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-00654,2000/01/26,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-00761,2000/01/28,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-00815,2000/01/31,Demolition,Demolition,3204 - Warehouse/Office,Commercial,Non-Residential,Demolition,
BP2000-00797,2000/01/31,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-00798,2000/01/31,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-00814,2000/01/31,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-00805,2000/01/31,Demolition,Demolition,1301 - Detached Garage,Garage,Residential,Demolition,
BP2000-00848,2000/02/01,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-00931,2000/02/02,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-00932,2000/02/02,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-00949,2000/02/03,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-00950,2000/02/03,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-01093,2000/02/08,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-01186,2000/02/10,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-01214,2000/02/11,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-01595,2000/02/24,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-01636,2000/02/25,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-01637,2000/02/25,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-01806,2000/03/01,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-01804,2000/03/01,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-01891,2000/03/03,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-01874,2000/03/03,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-01902,2000/03/03,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-01907,2000/03/06,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-01950,2000/03/06,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-01921,2000/03/06,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-01998,2000/03/08,Demolition,Demolition,9999 - Unspecified,Unspecified,Unspecified,Demolition,
BP2000-02084,2000/03/09,Demolition,Demolition,3106 - Retail Shop,Commercial,Non-Residential,Demolition,
BP2000-02080,2000/03/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-02315,2000/03/16,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-02369,2000/03/17,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-02378,2000/03/17,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-02408,2000/03/20,Demolition,Demolition,1408 - Semi-Detached (2-Unit),Two Family,Residential,Demolition,
BP2000-02420,2000/03/20,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-02464,2000/03/21,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-02481,2000/03/21,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-02507,2000/03/21,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-02554,2000/03/22,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-02633,2000/03/23,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-02634,2000/03/23,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-02595,2000/03/23,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-02702,2000/03/27,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-02692,2000/03/27,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-02710,2000/03/27,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-02777,2000/03/28,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-02763,2000/03/28,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-02856,2000/03/29,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-02830,2000/03/29,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-02829,2000/03/29,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-02859,2000/03/30,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-02874,2000/03/30,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-02870,2000/03/30,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-02953,2000/03/31,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-03002,2000/04/03,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-03091,2000/04/04,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-03102,2000/04/04,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-03171,2000/04/05,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-03135,2000/04/05,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-03320,2000/04/10,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-03343,2000/04/10,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-03393,2000/04/11,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-03368,2000/04/11,Demolition,Demolition,3608 - Restaurant,Commercial,Non-Residential,Demolition,
BP2000-03497,2000/04/13,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-03488,2000/04/13,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-03495,2000/04/13,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-03484,2000/04/13,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-03530,2000/04/14,Demolition,Demolition,1599 - Apt Accessory Building,Apartment,Residential,Demolition,
BP2000-03628,2000/04/17,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-03585,2000/04/17,Demolition,Demolition,5401 - Church,Institutional,Non-Residential,Demolition,
BP2000-03690,2000/04/18,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-03711,2000/04/19,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-03858,2000/04/20,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-03969,2000/04/25,Demolition,Demolition,3303 - Gas Bar,Commercial,Non-Residential,Demolition,
BP2000-03960,2000/04/25,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-03932,2000/04/25,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-04000,2000/04/26,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-04019,2000/04/26,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-04066,2000/04/27,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-04161,2000/04/28,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-04114,2000/04/28,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-04113,2000/04/28,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-04180,2000/05/01,Demolition,Demolition,3107 - Shopping Centre,Commercial,Non-Residential,Demolition,
BP2000-04236,2000/05/01,Demolition,Demolition,1599 - Apt Accessory Building,Apartment,Residential,Demolition,
BP2000-04221,2000/05/01,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-04228,2000/05/01,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-04268,2000/05/02,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-04328,2000/05/03,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-04384,2000/05/03,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-04454,2000/05/04,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-04456,2000/05/04,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-04496,2000/05/05,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-04547,2000/05/08,Demolition,Demolition,3304 - Repair Garage,Commercial,Non-Residential,Demolition,
BP2000-04586,2000/05/08,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-04544,2000/05/08,Demolition,Demolition,3304 - Repair Garage,Commercial,Non-Residential,Demolition,
BP2000-04546,2000/05/08,Demolition,Demolition,3304 - Repair Garage,Commercial,Non-Residential,Demolition,
BP2000-04543,2000/05/08,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-04552,2000/05/08,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-04545,2000/05/08,Demolition,Demolition,3402 - Office,Commercial,Non-Residential,Demolition,
BP2000-04541,2000/05/08,Demolition,Demolition,3304 - Repair Garage,Commercial,Non-Residential,Demolition,
BP2000-04658,2000/05/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-04649,2000/05/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-04633,2000/05/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-04646,2000/05/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-04703,2000/05/10,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-04735,2000/05/11,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-04771,2000/05/11,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-04859,2000/05/12,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-04945,2000/05/15,Demolition,Demolition,3303 - Gas Bar,Commercial,Non-Residential,Demolition,
BP2000-04948,2000/05/15,Demolition,Demolition,3303 - Gas Bar,Commercial,Non-Residential,Demolition,
BP2000-05014,2000/05/16,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-04969,2000/05/16,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-05013,2000/05/16,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-05045,2000/05/17,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-05083,2000/05/17,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-05067,2000/05/17,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-05119,2000/05/18,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-05097,2000/05/18,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-05153,2000/05/18,Demolition,Demolition,1508 - Apt Fourplex,Apartment,Residential,Demolition,
BP2000-05166,2000/05/18,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-05216,2000/05/19,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-05234,2000/05/19,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-05475,2000/05/25,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-05452,2000/05/25,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-05493,2000/05/26,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-05563,2000/05/29,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-05630,2000/05/29,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-05623,2000/05/29,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-05644,2000/05/30,Demolition,Demolition,3303 - Gas Bar,Commercial,Non-Residential,Demolition,
BP2000-05690,2000/05/30,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-05756,2000/05/31,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-05758,2000/05/31,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-05755,2000/05/31,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-05845,2000/06/01,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-05803,2000/06/01,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-05869,2000/06/02,Demolition,Demolition,3402 - Office,Commercial,Non-Residential,Demolition,
BP2000-05974,2000/06/05,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-05980,2000/06/05,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-05956,2000/06/05,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-05939,2000/06/05,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-06116,2000/06/08,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-06168,2000/06/08,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-06208,2000/06/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-06200,2000/06/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-06323,2000/06/13,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-06335,2000/06/13,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
