Date,Calgary (CER) Unemployment rate (%),Alberta Unemployment Rate (%),Canada Unemployment rate (%),Calgary (CER) Total Employment ('000 Persons),Calgary (CER) Total Employment month-over-month change ('000 Persons),Calgary (CER) Total Employment year-over-year change ('000 Persons),Calgary (CMA) Average Hourly Wage Rate ($),City of Calgary Building Permits Residential Value ($),City of Calgary Building Permits Non-Residential Value ($),Calgary (City) Total Housing Starts (units),Calgary (CMA) Total Housing Starts (units),Calgary (CER) Retail Sales ($billions),Calgary (CMA) Inflation Rate (%change)
2017-10-01,8.4,7.6,6.1,849.6,-7.6,15.6,32.1,182347337.5,155604103.4,777,953,2.73,1.39
2017-11-01,7.7,7,5.7,848.1,-1.5,10,32,264694381.6,112791778.2,1342,1504,2.7,2.58
2017-12-01,7.7,6.9,5.7,854.5,6.4,9.8,32.2,231436214.4,64607723.19,456,683,2.68,2
2018-01-01,7.7,6.9,5.8,861.4,6.9,17.1,32.1,137980645.3,54520699.73,488,651,2.73,1.38
2018-02-01,7.8,6.8,6,862.6,1.2,21.8,32.1,265555031.3,74240041.03,424,578,2.71,2.19
2018-03-01,7.9,6.8,6.3,858.1,-4.5,22.1,32,331084477.2,109635935.3,716,831,2.67,2.26
2018-04-01,7.4,6.7,6.2,858.5,0.4,19.2,31.9,202356709.3,235658341.9,1075,1203,2.68,2.39
2018-05-01,7,6.5,6.1,863.7,5.2,17,32.1,555125698.5,162834957.1,1469,1649,2.81,2.61
2018-06-01,7,6.5,5.9,865.2,1.5,9.5,32,221980525.3,172698281.1,889,1067,2.75,2.62
2018-07-01,7.5,6.6,5.9,863.1,-2.1,0.9,32.1,232171747.5,211586638.2,895,1010,2.72,3.34
2018-08-01,8.2,6.9,6.1,860.3,-2.8,-0.9,31.8,196906944.3,153747060.7,986,1096,2.67,2.97
2018-09-01,8.3,6.9,6,862.4,2.1,5.2,31.9,170554674.5,98526149.42,719,834,2.66,2.76
2018-10-01,8,6.6,5.7,863.7,1.3,14.1,32,221822225,110112943,583,686,2.6,2.53
2018-11-01,7.4,6.2,5.3,867.1,3.4,19,32.4,241539832.8,138606152.1,716,836,2.67,1.44
2018-12-01,7,6,5.2,866.2,-0.9,11.7,32.6,150166210.5,85589762.85,390,530,2.71,1.96
2019-01-01,7.2,6.3,5.5,866.1,-0.1,4.7,32.9,125349160.2,132910866.7,642,700,2.66,1.01
2019-02-01,7.6,6.8,5.8,865.1,-1,2.5,32.8,155540053.5,201399388.2,520,602,2.69,1.43
2019-03-01,8,7.3,6.2,864.2,-0.9,6.1,32.8,200980516.3,141753262.4,465,520,2.74,2.07
2019-04-01,7.5,7.1,6.1,876.6,12.4,18.1,33,222534793.8,153171016.6,863,955,2.8,1.84
2019-05-01,6.7,6.8,5.9,890.2,13.6,26.5,33,187965065.2,143470686.5,725,812,2.82,1.84
2019-06-01,6.5,6.6,5.6,904,13.8,38.8,33.2,214913179.2,151062622.2,965,1111,2.79,1.13
2019-07-01,6.6,6.8,5.6,910.1,6.1,47,33,256938899.6,82947422.39,608,691,2.82,0.84
2019-08-01,7.6,7.2,5.9,903.2,-6.9,42.9,33.1,183595809.9,165639614.8,959,1051,2.83,0.91
2019-09-01,7.5,7.1,5.8,902,-1.2,39.6,33.1,291049464.6,109225630.6,1398,1565,2.74,1.13
2019-10-01,7.3,6.7,5.5,896.5,-5.5,32.8,33.1,350813908.3,113591082.8,714,818,2.76,1.41
2019-11-01,6.5,6.2,5.2,898.4,1.9,31.3,33.4,774775914.4,346422454.3,805,954,2.74,1.99
2019-12-01,6.5,6.4,5.2,894.2,-4.2,28,33.2,141708576.6,154996810.5,1968,2130,2.83,2.13
2020-01-01,6.9,7.1,5.5,883,-11.2,16.9,33.4,134761055.9,74236876.97,589,642,2.82,2.77
2020-02-01,7.3,7.4,5.7,870.4,-12.6,5.3,33.5,143558668.8,190649440.6,515,646,2.76,2.25
2020-03-01,8.7,8.3,6.9,846.7,-23.7,-17.5,34.1,151196484.8,59327472.77,814,944,2.33,0.63
2020-04-01,10.6,10.3,9.5,805.9,-40.8,-70.7,34.6,185620302,110951148.8,481,575,1.93,-0.56
2020-05-01,13.1,13,12.4,776.4,-29.5,-113.8,35.4,156208779.3,77246942.75,640,721,2.46,0.14
2020-06-01,14.9,14.7,13.4,772.8,-3.6,-131.2,35.8,224382038.6,48272665.96,288,425,2.85,1.54
2020-07-01,14.9,14.4,12.5,805.5,32.7,-104.6,35.5,211737437.1,113262106,650,737,2.93,0.84
2020-08-01,14.2,13.4,11.4,831,25.5,-72.2,35.1,235812410,96331480.96,641,736,2.78,0.56
2020-09-01,12.8,12.3,10.3,851.5,20.5,-50.5,34.9,216128403.2,105098366.1,921,1035,3.05,1.4
2020-10-01,11.7,11.3,9.2,864.5,13,-32,35,196010734.2,129888945.9,869,982,3.05,1.18
2020-11-01,10.8,10.5,8.2,875.5,11,-22.9,34.8,222934468.6,61962290.83,827,952,3.08,1.32
2020-12-01,10.1,10.2,8.1,871.3,-4.2,-22.9,34.7,226616090.6,46438250.01,704,840,3.06,0.84
2021-01-01,10.4,10.6,8.7,860.3,-11,-22.7,34.6,207048564.9,87912540.63,1005,1122,3.07,0.76
2021-02-01,10.7,10.7,9,848.3,-12,-22.1,35.1,231326672,437167919,499,642,3.09,0.48
2021-03-01,10.8,10.6,9,845,-3.3,-1.7,34.9,312264533.1,112176383.3,902,1058,3.05,1.66
2021-04-01,10,10,8.5,846.4,1.4,40.5,34.8,301615760.8,107009210.9,1105,1299,3.05,3.08
2021-05-01,9.1,9.3,8.3,853.4,7,77,34.4,307051329,149042518,1275,1581,2.98,2.91
2021-06-01,9.1,8.8,8.1,858.6,5.2,85.8,34.1,378412380.8,684724848.7,932,1173,3.02,2.55
2021-07-01,9.4,8.5,7.9,863.3,4.7,57.8,34.2,390970843.9,52258822.64,1225,1404,2.96,4.01
2021-08-01,9.6,8.4,7.7,870,6.7,39,34.2,260025712.8,87064461.16,912,1110,2.99,4.92
2021-09-01,8.7,8.1,7.4,882.3,12.3,30.8,34.7,312634598.2,46679714.31,829,1026,3.06,4.21
2021-10-01,7.9,7.5,6.8,896.2,13.9,31.7,34.7,291852156.9,92417941.51,1064,1255,3.2,4.33
2021-11-01,7.5,7,6,894.2,-2,18.7,35,320756900.7,78411610.92,2018,2192,3.25,4.4
2021-12-01,7.4,6.8,5.7,894.5,0.3,23.2,35.1,271697055.5,112113905,956,1155,3.16,5.04
2022-01-01,7.6,7,6,886.2,-8.3,25.9,35.2,287919191.1,83558363.83,465,561,3.14,5.35
2022-02-01,7.4,7,6,894.7,8.5,46.4,35.1,246573323.6,127323079.5,1011,1159,3.2,6.37
2022-03-01,7.5,7.1,6.1,895.4,0.7,50.4,35.3,452643074.3,148365382.8,1090,1242,3.25,7.3
2022-04-01,7,6.7,5.6,907.6,12.2,61.2,35.6,372189924.7,120310949.8,1299,1511,3.27,7.12
2022-05-01,6.4,6.2,5.4,918.8,11.2,65.4,36.1,357211407.2,128830131.1,1577,1769,3.47,8.02
2022-06-01,5.4,5.6,5.1,938.7,19.9,80.1,35.9,435781577.4,205646913.6,1666,1883,3.42,9.56
2022-07-01,5.1,5.2,5,957.1,18.4,93.8,35.5,321295663.2,107383959.4,1630,1879,3.57,8.17
2022-08-01,5.4,5.4,5.3,963.8,6.7,93.8,35.4,335104855.9,292643513.9,808,1182,3.52,6.68
2022-09-01,5.6,5.4,5.3,961,-2.8,78.7,35.8,287163825.3,258213159.9,1392,1679,3.48,6.82
2022-10-01,5.7,5.2,5.1,955.1,-5.9,58.9,36.5,333533777.2,82103778.11,1427,1688,3.55,7.45
2022-11-01,5.5,5.1,4.7,950.7,-4.4,56.5,36.9,299047287.8,81142169.78,1501,1673,3.57,7.3
2022-12-01,5.7,5.2,4.6,940.4,-10.3,45.9,37.1,268977193.1,77505984.7,901,1080,3.6,6.64
2023-01-01,6.4,5.8,4.9,923.5,-16.9,37.3,36.8,245233091.4,79313764.61,1098,1295,3.62,5.54
2023-02-01,6.7,6,5.1,914.3,-9.2,19.6,36.5,273759879.6,125507128.8,1032,1238,3.42,3.93
2023-03-01,7,6.3,5.4,916.3,2,20.9,36.2,342689734.2,140209719.9,937,1094,3.36,3.69
2023-04-01,6.4,6.3,5.3,931.9,15.6,24.3,36.3,405612618.2,109744397.3,904,1164,3.39,4.88
2023-05-01,6,6,5.3,946.9,15,28.1,36.1,474862801.6,109935574.1,1836,2076,3.47,3.49
2023-06-01,5.8,5.8,5.2,966,19.1,27.3,36,398253739.1,84040426.69,1025,1239,3.46,2.03
2023-07-01,6.1,5.8,5.4,977.5,11.5,20.4,35.7,333173872,124390622.4,1444,1621,,3.38
2023-08-01,6,6,5.8,990.7,13.2,26.9,36.1,438606844.8,112339469.8,1486,1680,,4.83
